date,selected_asset,ticker,mode,momentum_us,momentum_exus,momentum_cash,timestamp
2025-12-31,EXUS,VEU,RISK-ON,0.17719071601466707,0.3235030237673495,0.04147107967497554,2026-01-21 20:46:05.872554
2025-12-31,EXUS,VEU,RISK-ON,0.17719071601466707,0.3235030237673495,0.04147107967497554,2026-01-21 20:49:51.058700
2026-01-30,EXUS,VEU,RISK-ON,0.15710676054920647,0.33972344032472446,0.04124537733473588,2026-02-02 08:17:00.561704
2026-02-27,EXUS,VEU,RISK-ON,0.1863016205799306,0.39095310079253753,0.04054360718789263,2026-03-02 08:16:54.190
2026-03-31,EXUS,VEU,RISK-ON,0.17591519331989347,0.27682544335716575,0.039909835614359235,2026-04-06 08:36:46.694294
2026-04-30,EXUS,VEU,RISK-ON,0.3108131922889681,0.33869939990837916,0.039378090577410596,2026-05-04 08:54:28.312082
2026-05-29,EXUS,VEU,RISK-ON,0.2967577415461047,0.32524069383570775,0.03924366552402914,2026-06-01 09:55:25.972946
2026-06-30,EXUS,VEU,RISK-ON,0.22205131483271945,0.2817513482157641,0.03521220564402472,2026-07-06 09:26:11.499434
